,Article ID,Titles,Links,Contents,Gold Labels
0,1,یشمہ گل رشتے والی آنٹیوں کے بے جا مطالبات سے تنگ آگئیں,https://jang.com.pk/news/1409434,معروف اداکارہ یشمہ گل رشتے والی آنٹیوں بےجا مطالبات سے تنگ آگئیں۔ یشمہ گل نے دل کا رشتہ ایپ جوائن کرلی شادی خواہشمندوں کو بھی ایپ ڈاؤن لوڈ کرنے کا مشورہ دیا۔ معروف اداکارہ نے کہا رشتے والی آنٹیوں بےجا مطالبات رویے سے تنگ آکر دل کا رشتہ ایپ جوائن کرلی ہے۔ انہوں نے مزید کہا رشتے والی آنٹیاں ان سے شادی کرانے لاکھوں روپے مانگتی ہیں، اب وہ اس ایپ ذریعے شادی گی۔ ,Entertainment
1,2,شادی کے دوران جان سے مارنے کی دھمکیاں دی گئی تھیں، سیف علی خان کا انکشاف,https://jang.com.pk/news/1409426,کیا آپ جانتے جب سیف علی خان کرینہ کپور خان نے شادی کا فیصلہ کیا انہیں بڑے چیلنجز کا سامنا کرنا پڑا تھا؟ جی ہاں، بالی ووڈ سب سے مشہور جوڑی کو شادی دوران سنگین دھمکیاں تھیں، جس میں جان سے مارنے ان خاندان کو نقصان پہنچانے دھمکیاں بھی شامل تھیں۔ دونوں اپنے فیصلے ثابت قدم اکتوبر ء میں ان تمام دھمکیوں باوجود شادی بندھن میں بندھ گئے۔ بھارتی میڈیا مطابق اس وقت کو یاد سیف علی خان نے بتایا کرینہ والد رندھیر کپور کو گمنام خطوط موصول جن میں ان خاندان کو نقصان پہنچانے دھمکیاں تھیں، حتیٰ شادی جگہ کو بھی نشانہ بنانے دھمکی گئی۔ سیف علی خان نے بتایا ان والدین منصور علی خان پٹودی شرمیلا ٹیگور کو بھی  دہائی میں اپنی بین المذاہب شادی دوران اسی قسم مخالفت کا سامنا کرنا پڑا تھا۔ سیف نے وضاحت کہا کچھ کو ہماری شادی پسند نہیں آئی۔ میرے سسر کو گمنام خطوط ملے، جن میں کہا گیا تھا وہ ہمارے خاندان کو نقصان پہنچائیں جگہ کو بم سے اڑائیں گے۔ بالی ووڈ اداکار کا کہنا تھا دھمکیاں دینا ان عمل کرنا مختلف باتیں ہیں۔ ,Entertainment
2,3,وہ پہلے دودھ والا تھا، اجے دیوگن کا اکشے کی جلدی اٹھنے کی عادت پر دلچسپ تبصرہ,https://jang.com.pk/news/1409422,سپر اسٹار اداکار اجے دیوگن نے ساتھی اداکار اکشے کمار صبح سویرے اٹھنے عادت دلچسپ انداز میں تبصرہ کیا ہے۔ بالی ووڈ اداکار اجے دیوگن نے حال میں سنگھم اگین ساتھی اداکار اکشے کمار جلدی صبح اٹھنے عادت دلچسپ تبصرہ انہیں دودھ والا کہہ دیا۔ بالی ووڈ اداکار اکشے کمار فلاپ فلموں تعداد بڑھنے لگی،  سال دوران ان ناکام فلموں تعداد اب  ہے۔ بھارتی میڈیا مطابق اجے نے مذاق بالی ووڈ ہنگامہ ہینگ آؤٹ کیا جہاں وہ ہدایتکار روہت شیٹی مداحوں سے گفتگو کر تھے۔ اس دوران جب اجے سے اکشے کسی منفرد عادت بارے میں پوچھا گیا اجے نے کہا وہ صبح چار بجے اٹھتے ہیں، آپ جانتے پہلے وہ دودھ والا تھا۔ اکشے، جو اپنی صحت مند طرز زندگی کےلیے مشہور ہیں، صبح جلد اٹھ کر اپنی فٹنس روٹین شروع ہیں۔ اجے اکشے حال میں فلم سنگھم اگین میں نظر آئے، تاہم اس سے قبل دونوں فلم سہاگ، خاکی انسان میں بھی جلوہ گر جبکہ اکشے فلم سوریاونشی میں اجے دیوگن نے مختصر کردار نبھایا تھا۔ ,Entertainment
3,4,کنگنا رناوت کی نانی چل بسیں، اداکارہ نے پرانی یادیں تازہ کردیں,https://jang.com.pk/news/1409416,بھارتی اداکارہ کنگنا رناوت نانی، اندرانی ٹھاکر گزشتہ رات چل بسیں، ان یاد میں بالی ووڈ کوئن نے جذباتی پیغامات شیئر کردیے۔ فوٹوز اینڈ ویڈیوز شیئرنگ ایپ انسٹاگرام اپنے پیغام میں انہوں نے کہا ان نانی باہمت خاتون تھیں۔ اداکارہ نے مزید بتایا انہوں نے اپنے پانچ بچوں کو بہترین تعلیم دلائی اپنی بیٹیوں کو شادی بعد بھی کام کرنے حوصلہ افزائی کی۔ کنگنا نے بتایا ان نانی صحت اتنی  سال سے زیادہ عمر میں بھی اپنے کام خود تھیں۔ کچھ دن پہلے صفائی دوران انہیں برین اسٹروک ہوا، جس بعد سے وہ بستر تھیں۔ ,Entertainment
4,5,بھارت میں جسے ناچ گانا نہیں آتا اس کا رشتہ نہیں ہوتا، یہاں جسے آتا ہے اس کی شادی نہیں ہوتی اداکارہ دیدار,https://jang.com.pk/news/1409392,پاکستانی شوبز انڈسٹری سے وابستہ ماضی معروف اسٹیج اداکارہ رقاصہ دیدار نے معاشرے دہرے معیار سے پردہ اُٹھا دیا۔ حال میں نجی ٹی وی چینل پروگرام میں اسٹیج اداکارہ نے بطور مہمان شرکت کی، جہاں انہوں نے معاشرے دہرے معیار بات کہا یہاں شوبز انڈسٹری خواتین کو قبول نہیں کیا جاتا لیکن ان طرح لباس نجی تقریبات میں خواتین زیب ہیں۔ سوال جواب میں انہوں نے کہا ہم پاکستان بھارت ثقافت کو اُن یہاں جسے ناچ گانا نہیں آتا اس کا رشتہ نہیں ہوتا ہمارے یہاں جسے ناچ گانا آتا اس کا رشتہ نہیں ہوتا۔ بھارتی مشہور پنجابی گلوکار ریپر یو یو ہنی سنگھ نے اپنے گانے جٹ مہکما ویڈیو ریلیز کر دی۔ انہوں نے انکشاف کیا میں شوبز تھیٹر انڈسٹری کا حصہ نہیں بننا چاہتی تھی، ارادہ شوق نہیں تھا، ڈانس نہیں آتا تھا لیکن والدہ بڑی بہن نرگس نے ڈانسر بننے لیے کہا، جس پہلے رقص سیکھا انڈسٹری جوائن اب انڈسٹری سے پیار ہے۔ اداکارہ مطابق ہمارے معاشرے میں اداکاری، رقص، اسٹیج، موسیقی ڈراموں کو کبھی قبول نہیں کیا جائے گا لیکن گھر شادیوں میں ڈانس مقابلوں کا خصوصی اہتمام کیا جاتا ہے، مرد ڈانسر بلوائے جاتے جن سے گھر خواتین ڈانس سیکھتی ہیں، گھر تمام مرد خواتین ساتھ ڈانس ہیں۔ انہوں نے بھی کہا گھر شادیوں میں مختصر لباس بھی پہنے جاتے اسے قبول کر لیا جاتا لیکن رقاصہ کو کبھی قبول نہیں کیا جاتا۔ ,Entertainment
5,6,صدارتی ایوارڈ یافتہ  سالہ سرائیکی شاعر اقبال سوکڑی انتقال کر گئے,https://jang.com.pk/news/1409386,صدارتی ایوارڈ یافتہ سرائیکی شاعر اقبال سوکڑی  سال عمر میں انتقال کر گئے۔ مرحوم نمازِ جنازہ بعد نمازِ عصر تونسہ میں ادا گئی۔ اقبال سوکڑی  شعری مجموعے شائع تھے۔ ,Entertainment
6,7,ہنی سنگھ کے گانے جٹ مہکما میں مہوش حیات لیڈی ڈان بن گئیں، ویڈیو ریلیز,https://jang.com.pk/news/1409384,بھارتی مشہور پنجابی گلوکار ریپر یو یو ہنی سنگھ نے اپنے گانے جٹ مہکما ویڈیو ریلیز کر دی۔ میوزک ویڈیو میں پاکستانی عالی شہرت یافتہ اداکارہ مہوش حیات لیڈی ڈان روپ میں جلوے بکھیرتی نظر آئیں۔ فوٹو اینڈ ویڈیو شیئرنگ پلیٹ فارم شیئر پوسٹ مطابق یو یو ہنی سنگھ گانے جٹ مہکما میوزک ویڈیو گزشتہ روز ریلیز ہے۔ خیال مذکورہ میوزک ویڈیو گونج گزشتہ ماہ سے گونج تھی، حال میں اس کا ٹیزر بھی ریلیز کیا گیا تھا، تاہم اب میوزک ویڈیو نے آتے دھوم مچا ہے۔ ٹی سیریز بینر تلے ریلیز گانے میں مہوش حیات کو لیڈی ڈان قاتلانہ انداز میں دیکھا جا سکتا ہے۔ پاکستانی عالی شہرت یافتہ اداکارہ مہوش حیات مختلف بین الاقوامی پروجیکٹس میں شاندار پرفارمنس دینے بعد اب بھارتی مشہور پنجابی گلوکار ریپر یو یو ہنی سنگھ ساتھ جلوے بکھیرتے دکھائی دیں گی۔ خیال مذکورہ گانا ہنی سنگھ حال میں ریلیز ہونے میوزک ایلبم گلوری کا حصہ ہے، جس آڈیو پہلے ریلیز کر تھی۔ توجہ طلب بات مذکورہ گانے میوزک ویڈیو ہدایت کاری خود گلوکار یو یو ہنی سنگھ نے ہے۔ ,Entertainment
7,8,افتخار ٹھاکر کا عیسائی نوجوان کو اسلام قبول کروانے کا دلچسپ واقعہ,https://jang.com.pk/news/1409362,پاکستانی شوبز انڈسٹری سے وابستہ سینئر مزاحیہ اداکار افتخار ٹھاکر نے غیر مسلم کو دائرے اسلام میں داخل کرنے کا سچا دلچسپ واقعہ سنا دیا۔ انہوں نے انٹرویو میں بتایا اس حیرت انگیز واقعے کا آغاز کیسے کہاں سے ہوا۔ افتخار ٹھاکر نے انٹرویو میں بتایا میں سوئیڈن سے پیرس جا رہا تھا،  منٹ فلائٹ تھی، میرے ساتھ بیٹھے شخص نے مجھ سے پوچھا تم مسلمان ہو؟ میں نے کہا الحمد لِلّٰہ، اس نے اپنے بارے میں بتایا میں کرسچن ہوں، اس نے مجھ سے سوال پوچھا میں نے معذرت ساتھ انکار کہا میں  منٹ میں اتنی لمبی بات نہیں کر سکتا۔ پاکستان شوبز انڈسٹری سے وابستہ معروف کامیڈین اداکار افتخار ٹھاکر نے انکشاف کیا ان والدہ دعاؤں نے انہیں مکہ المکرمہ میں معذور حاجیوں کا خدمت گزار بنا دیا۔ اداکار نے بتایا میں نے اس شخص سے کہا سوال آپ سوال میں کروں گا، جس وہ فوراً راضی گیا مجھے پہلے سوال کرنے کا موقع دیا میں نے اس غیر مسلم مسافر سے سوال کیا حضرت مریم علیہ السلام پاک بی بی ساتھ تمہارا میرا کیا رشتہ ہے؟ مذکورہ شخص نے کہا ہم دونوں ان بیٹے ہیں، وہ ہماری ماں ہیں، اداکار مطابق انہوں نے دلیل میں اس سے کہا ہم دونوں بھائی جو تمہاری میری پاک ماں حضرت مریم بی بیؑ الزام لگاتا وہ دوست جو ان پاکیزگی قسمیں کھاتا کیا وہ دشمن ہے؟ اداکار مطابق اس سوال بعد کچھ لیے ہم دونوں خاموش میں نے اس سے کہا اب سوال پوچھنے باری آپ ہے، جس اس غیر مسلم شخص نے مجھ سے میرا فون نمبر مانگا۔ افتخار ٹھاکر مطابق  دن بعد وہ واپس پاکستان آ تقریباً  دن بعد سعودی عرب گئے۔ پاکستان شوبز انڈسٹری معروف کامیڈین اداکار افتخار ٹھاکر نے انکشاف کیا ان ڈائیلاگ نے شرابی زندگی بدل دی۔ انہوں نے بتایا میں مکہ مکرمہ میں بیت اللّٰہ سامنے کھڑا تھا اس شخص کال آ گئی، اس نے اپنا تعارف کرواتے کہا میں ڈینئل بات کر رہا ہوں، اس نے پوچھا آپ اس وقت کہاں میں نے اسے بتایا میں بیت اللّٰہ سامنے کھڑا ہوں۔ اداکار مطابق ڈینئل کو پتہ نہیں تھا بیت اللّٰہ کیا ہے، جس میں نے اسے بتایا بیت اللّٰہ وہ جگہ جہاں وہ دعا قبول جاتی جسے خلوصِ نیت سے مانگا جائے۔ افتخار ٹھاکر بقول بات سن کر ڈینئل نے ان سے پوچھا تم نے کیا دعا مانگی، انہوں نے ڈینئل کو اپنا بھائی بولتے جواب دیا میں نے دعا مانگی میں میرا بھائی دونوں دن بیت اللّٰہ سامنے کھڑے ہوں۔ اداکار نے معنی خیز مسکراہٹ ساتھ بتایا سن کر اس کال کٹ اس نے میسج کر کہا نذیر بھائی کا نمبر مانگا جن بارے میں میں پہلے فلائٹ میں اسے بتا چکا تھا۔ افتخار ٹھاکر نے مزید بتایا میں نے نمبر بھیجنے بعد نذیر صاحب کو بھی کال کر ڈینئل کال سے آگاہ کر دیا۔ اداکار نے دعویٰ کیا اگلے روز جیسے میں مدینہ منورہ حدود میں داخل میرے موبائل میسج آیا جس میں لکھا تھا میں ڈینئل تھا، اب میں عمر ہوں، بات سن کر انٹرویو لینے میزبان منہ سے بے ساختہ اللّٰہ اکبر الفاظ نکلے۔ پاکستان شوبز انڈسٹری معروف اداکار افتخار ٹھاکر نے انکشاف کیا مرحوم اداکار قویٰ خان مند گھرانوں بچیوں رشتے ڈھونڈ کر شادیاں کرواتے تھے۔ اداکار مطابق میسیج میں آگے لکھا تھا میں بیت اللّٰہ زیارت کرنا چاہتا ہوں، میرے لیے دعا کریں۔ افتخار ٹھاکر نے اپنی بات کو آگے بڑھاتے بتایا میں نے فوراً نذیر بھائی کو کال انہوں نے بتایا ڈینئل جو اب محمد عمر بن چکا وہ ساری رات ان پاس رہا، اداکار نے اللّٰہ کا شکریہ ادا کہا میرے مالک نے محمد  صدقے زندگی میں اتنے تحفے مجھے دیے، اس سے بڑا تحفہ کیا سکتا ہے۔ اس بعد حیرت انگیز واقعہ بیان افتخار ٹھاکر نے بتایا ہماری انڈسٹری نامور اداکارہ گلوکارہ تھیں جو غیر شادی شدہ تھیں، میں نے ان سے شادی نہ کرنے وجہ پوچھی انہوں نے ماں بیماری بتائی، جس میں نے ان سے کہا سب کو اس دنیا سے جانا ہے، والدہ بھی دن چلی جائیں تمہارا خیال کون گا؟ اداکارہ نے جواب دیا شوبز لڑکی کا کسی ساتھ نکاح کرنا بڑا مشکل ہوتا ہے، اس بعد ساری زندگی طعنے سہنے پڑتے ہیں۔ افتخار ٹھاکر مطابق جب انہوں نے اداکارہ سے اپنا گھر بسانے اصرار کیا انہوں نے جواب میں کہا ٹھاکر بھائی آپ میرا میری والدہ کا جتنا احترام ہیں، میں نے سارا معاملہ آپ ذمے کر دیا ہے۔ اداکار افتخار ٹھاکر نے قہقہہ لگاتے بتایا محمد عمر پہلے سے پاکستان میں موجود میں اداکارہ کا رشتہ کر ان پاس گیا وہ فوراً اس راشتے راضی گئے، اللّٰہ رحمت برکت سے آج وہ دونوں سوئیڈن میں اپنے بچوں ساتھ بڑی خوبصورت زندگی گزار ہیں۔ ,Entertainment
8,9,ٹرمپ کی کامیابی کے بعد کئی ہالی ووڈ اداکاراؤں کا امریکا چھوڑنے کا ارادہ,https://jang.com.pk/news/1409361,امریکی صدارتی انتخابات میں ڈونلڈ ٹرمپ کامیابی بعد ہالی ووڈ اداکارائیں مشہور شخصیات امریکا چھوڑنے کا سوچنے لگیں۔ غیر ملکی میڈیا مطابق ڈونلڈ ٹرمپ کامیابی بعد ہالی ووڈ مشہور شخصیات نے امریکا چھوڑنے کا ارادہ ظاہر کیا ہے۔ میڈیا رپورٹس مطابق  سالہ امریکی اداکارہ امیریکا فریرا مبینہ ٹرمپ جیت بعد اپنے خاندان ساتھ برطانیہ جانے غور کر ہیں۔ امریکی میڈیا مطابق امیریکا فریرا اپنے  بچوں لیے مزید امید افزا مستقبل چاہتی ہیں۔ امیریکا فریرا نے کملا ہیرس شکست دکھ افسوس کا اظہار بھی کیا ہے۔ امریکی میڈیا کا دعویٰ امریکا کہنے قطر نے حماس وفد کو دوحہ چھوڑنے کا حکم دیا۔ غیر ملکی میڈیا مطابق  سالہ امریکی اداکارہ شیرن اسٹون بھی اٹلی جانے غور کر ہیں۔ انہوں نے جولائی میں امریکا چھوڑنے بارے میں بات کہا تھا وہ اٹلی میں گھر لینے غور کر ہیں۔ میڈیا رپورٹس مطابق  سالہ امریکی گلوکارہ اداکارہ چیر بھی ڈونلڈ ٹرمپ مخالف ہیں۔ انہوں نے کہا سابق صدر قیادت نے ان صحت شدید اثر ڈالا ہے۔ اداکارہ نے ء میں انٹرویو دوران ڈونلڈ ٹرمپ اقتدار میں واپس آنے امکان بارے میں کہا تھا اگر ٹرمپ صدر بن اس بار میں ملک چھوڑ دوں گی۔ برطانوی اداکارہ صوفی ٹرنر بھی ماضی میں ڈونلڈ ٹرمپ اقتدار میں واپسی بارے میں کہہ ایسا وہ اپنے آبائی ملک برطانیہ واپس لوٹ جائیں گی۔ غیر ملکی میڈیا مطابق  سالہ برطانوی نژاد امریکی اداکارہ منی ڈرائیور پہلے امریکا سے جا ہیں۔ انہوں نے جولائی میں ڈونلڈ ٹرمپ ممکنہ جیت حوالے سے کہا تھا حال میں امریکی شہر لاس اینجلس میں تقریباً  دہائیوں رہنے بعد برطانیہ واپس آ ہوں۔ ,Entertainment
9,10,ژالے سرحدی نے گرو جی کی آڈیو پر اداکاری کر کے محفل لوٹ لی,https://jang.com.pk/news/1409356,بھارتی روحانی پیشوا ڈاکٹر انرودھا چاریہ عرف گرو جی آڈیو پرپاکستان شوبز انڈسٹری معروف اداکارہ ماڈل ژالے سرحدی اداکاری سوشل میڈیا صارفین کو بھا گئی۔ فوٹو اینڈ ویڈیو شیئرنگ پلیٹ فارم انسٹاگرام اداکارہ نے حال میں ویڈیو شیئر جس میں انہیں لپ سنگ دیکھا جا سکتا ہے۔ اداکارہ نے بھارتی روحانی پیشوا ڈاکٹر انرودھا چاریہ عرف گرو جی سوشل میڈیا وائرل مزاحیہ ویڈیو لپ سنگ ہے۔ وائرل ویڈیو میں لڑکی شادی لیے لڑکا نہ ملنے کا اپنا غم کچھ یوں بیان کر ابھی میں  سال ہوں،  اکتوبر کو  سال جاؤں گی، جس گرو جی جلد شادی کرنے کا مشورہ ہیں۔ گرو جی کا مشورہ سن کر لڑکی اپنا دکھ بیان کوئی ملے گا شادی کروں گی، آپ نظر میں بتا دیں اس سے شادی کر لوں گی، لڑکی بات سن کر محفل میں بیٹھے لڑکے جانب گرو جی اشارہ اس سے کر لو، جس لڑکی شرما جاتی ہے۔ مذکورہ ویڈیو پاکستانی اداکارہ پرفیکٹ اداؤں ساتھ لپ سنگ نے سوشل میڈیا صارفین دل جیت لیے۔ واضح موقع نہیں جب ژالے سرحدی نے گرو جی ویڈیو لپ سنگ ہو، اس سے قبل بھی انہوں نے ویڈیو شیئر جس میں لڑکی گرو جی سے غصہ کم کرنے مشورے طلب ہے۔ خیال ژالے سرحدی مذکورہ دونوں ویڈیوز بالترتیب  ہزار  ہزار ویوز مل ہیں، جبکہ صارفین بھی ان اداؤں تعریف کر ہیں۔ ,Entertainment
