id,title,link,content,category
1,آئی سی سی ون ڈے رینکنگ میں پاکستان ٹیم کونسے نمبر پر آگئی؟,https://urdu.arynews.tv/icc-one-day-ranking-pakistan-team-3rd-postion/,انٹرنیشنل کرکٹ کونسل (آئی سی سی) نے ون ڈے کی نئی رینکنگ جاری کردی۔ آئی سی سی کی جانب سے جاری کردہ ون ڈے رینکنگ کے مطابق پاکستانی ٹیم چوتھے سے تیسرے نمبر پر پہنچ گئی ہے، پاکستان نے آسٹریلیا کو دوسرے ون ڈے میں 9 وکٹوں سے شکست دی تھی۔ ون ڈے رینکنگ میں بھارتی ٹیم پہلے نمبر پر موجود ہے جبکہ آسٹریلوی ٹیم دوسرے نمبر پر براجمان ہے۔ جنوبی افریقہ کی ٹیم چوتھے، نیوزی لینڈ پانچویں، سری لنکا کی ٹیم چھٹے نمبر پر موجود ہے، انگلش ٹیم ساتویں، افغانستان آٹھویں، بنگلادیش نویں اور ویسٹ انڈیز دسویں نمبر پر براجمان ہے۔ واضح رہے کہ ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی تھی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا تھا۔ آسٹریلوی ٹیم پہلے بیٹنگ کرتے ہوئے 163 رنز پر ڈھیر ہوئی تھی، پاکستان نے 164 رنز کا ہدف باآسانی 26.3 اوورز میں ایک وکٹ کے نقصان پر حاصل کرلیا تھا۔ صائم ایوب نے 82 رنز کی برق رفتار اننگز کھیلی تھی، ان کی اننگ میں پانچ چوکے اور چھ بلند و بالا چھکے شامل تھے، عبداللہ شفیق 64 اور بابر اعظم 15 رنز کے ساتھ نآٹ آؤٹ رہے۔ پاکستان اور آسٹریلیا کے درمیان تیسرا اور فیصلہ کن ون ڈے میچ کل بروز اتوار کو کھیلا جائے گا۔,Sports
2,سابق انگلش کرکٹر مگرمچھوں سے بھری ندی میں گرنے سے بچ گئے,https://urdu.arynews.tv/ian-botham-crocodile-hunted/,انگلینڈ کے سابق کرکٹر سر ای این بوتھم آسٹریلیا میں مچھلی کے شکار کے دوران مگرمچھوں سے بھری ندی میں گرنے سے بال بال بچ گئے۔ بھارتی میڈیا رپورٹس کے مطابق انگلینڈ کے سابق کرکٹر سر ای این بوتھم آسٹریلیا کے دریائے موئل میں سابق فاسٹ بولر مرو ہیوز کے ساتھ مچھلی کا شکار کررہے تھے۔ حالات نے اس وقت خطرناک رخ اختیار کیا جب کشتیوں کے درمیان جانے کی کوشش کے دوران این بوتھم کا جوتا رسی میں پھنس گیا جس کے نتیجے میں وہ گر گئے۔ ای این بوتھم کو گرنے کے سبب کافی چوٹیں آئیں اور ان کا مگرمچھوں سے بھرے پانی سے بچنا مشکل ہوگیا تھا۔ انسٹاگرام پر انہوں نے لکھا کہ ’میں پانی میں جانے سے پہلے ہی باہر نکل آیا تھا، بہت سے مگرمچھوں کی نظریں مجھ پر تھیں، اب میں ٹھیک ہوں۔‘ A post shared by IanBotham (@sirianbotham) واضح رہے کہ سر ای این بوتھم نے 102 ٹیسٹ میچوں میں انگلش ٹیم کی نمائندگی کی جس میں انہوں نے 5200 رنز بنائے اور 383 وکٹیں حاصل کیں۔ انہوں نے 116 ون ڈے میچز بھی کھیلے۔ انگلینڈ کے سابق آل راؤنڈر کا میدان پر آسٹریلیا کے تیز گیند باز مرو ہیوز سے سخت مقابلہ ہوتا تھا۔ ہیوز نے آسٹریلیا کے لیے 53 ٹیسٹ میچوں میں 212 وکٹیں حاصل کیں۔,Sports
3,حارث رؤف نے وسیم اکرم کے سوال پر کیا کہا؟,https://urdu.arynews.tv/pakvsaus-wasim-akram-haris-rauf/,قومی ٹیم کے فاسٹ بولر حارث رؤف نے آسٹریلیا کے خلاف شاندار بولنگ پر وسیم اکرم کے سوال کا جواب دے دیا۔ سابق کپتان وسیم اکرم نے حارث رؤف سے سوال کیا کہ آپ کو اہم میچ میں دنیا کی سب سے مضبوط ٹیم کے خلاف پانچ وکٹیں حاصل کرکے کیسا لگا، آپ کا ردھم بھی اچھا تھا؟ فاسٹ بولر نے کہا کہ آسٹریلیا میں کافی میچز کھیلے ہیں، کوشش تھی کہ ٹیم کو بریک تھرو دلواؤں۔ حارث رؤف نے کہا کہ الحمدللہ وکٹیں مل رہی تھیں کوشش یہ تھی کہ ہارڈ لین پر آسٹریلوی بیٹرز کو ٹارگٹ کروں، آخر میں انہوں نے وسیم اکرم کا شکریہ بھی ادا کیا۔ A post shared by Fox Cricket (@foxcricket) واضح رہے کہ گزشتہ روز ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی تھی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا تھا۔ فاسٹ بولر نے جوش انگلس کو 18 رنز پر کپتان محمد رضوان کے ہاتھوں کیچ آؤٹ کروایا تھا، مارنوس لبوشین بھی 6 رنز پر حارث کا نشانہ بنے تھے۔ ایرون ہارڈی، گلین میکسویل اور کپتان پیٹ کمنز کو بھی حارث رؤف نے پویلین کا راستہ دکھایا تھا۔ پاکستان اور آسٹریلیا کے درمیان تیسرا اور فیصلہ کن ون ڈے میچ کل کھیلا جائے گا۔,Sports
4,بھارتی حکومت نے بی سی سی آئی کو اپنی ٹیم پاکستان بھیجنے سے منع کردیا,https://urdu.arynews.tv/indian-government-not-sending-team-to-pakistan/,بھارت کی حکومت نے بھارتی کرکٹ بورڈ( بی سی سی آئی) کو اپنی ٹیم پاکستان بھیجنے سے منع کردیا ہے۔ ای ایس پی این کرک انفو کی رپورٹ کے مطابق بھارتی کرکٹ بورڈ نے انٹرنیشنل کرکٹ کونسل ( آئی سی سی) کو آگاہ کردیا کہ بھارتی ٹیم چیمپیئنز ٹرافی 2025 کیلئے پاکستان نہیں جائے گی۔ بھارتی حکومت سے بھات کی ٹیم کو بھیجنے سے منع کیا، کہا کہ ہائبرڈ ماڈل ہوا تو یواےای میں بھارت کے میچز ہوسکتے ہیں۔ یاد رہے کہ گزشتہ روز بھارتی میڈیا نے بھی ٹیم پاکستان نہ جانے کی خبریں چلائی تھیں ساتھ ہی بھارتی میڈیا نے دعویٰ کیا تھا کہ بھارتی بورڈ نے پی سی بی کو فیصلے سے آگاہ کردیا ہے۔ بھارت نے چیمپئنز ٹرافی کیلیے پاکستان آنے سے انکار کر دیا، بھارتی میڈیا دوسری جانب پاکستان کرکٹ بورڈ کے چیئرمین محسن نقوی نے قذافی اسٹیڈیم لاہور کے دورے کے موقع پر میڈیا سے گفتگو کرتے ہوئے کہا تھا کہ بھارتی کرکٹ بورڈ نے تحریری طور پر آگاہ نہیں کیا۔ محسن نقوی کا کہنا تھا کہ بھارتی کرکٹ بورڈ کا کوئی خط نہیں ملا، اگر نہ آنے کا تحریری پر طور پر بتایا گیا تو حکومت کے پاس جاؤں گا، ہم چیمپئنز ٹرافی کےلیے اپنی تیاریاں جاری رکھیں گے۔ خیال رہے کہ بھارت کے علاوہ دیگر 6 ٹیموں نے ایونٹ میں ٹیموں کو پاکستان بھیجنے کی تصدیق کردی ہے تاہم بھارت سکیورٹی کے بہانے بناکر ٹیم بھیجنے سے انکاری ہے اور ٹورنامنٹ کو ہائبرڈ ماڈل کے تحت کروانا چاہتا ہے۔ چیمپئنز ٹرافی 19 فروری سے 9 مارچ 2025 تک شیڈول ہے جس کے میچز کراچی، لاہور اور راولپنڈی میں ہوں گے۔ A post shared by ARY News (@arynewstv),Sports
5,سفیان خان نے انٹرنیشنل ہاکی فیڈریشن کا رائزنگ اسٹار ایوارڈ جیت لیا,https://urdu.arynews.tv/sufyan-khan-fih-emerging-player-of-the-year/,مسقط: پاکستان کے سفیان خان نے انٹرنیشنل ہاکی فیڈریشن کا رائزنگ اسٹار ایوارڈ جیت لیا۔ تفصیلات کے مطابق انٹرنیشنل ہاکی فیڈریشن کا سالانہ ایوارڈ گالا عمان کے دارالحکومت مسقط میں ہوا جس میں سفیان خان کو رائزنگ اسٹار کا ایوارڈ دیا گیا۔ انٹرنیشنل ہاکی فیڈریشن کارائزنگ اسٹار ایوارڈ جیتنے والےسفیان خان نے کہا کہ میرا پاکستان ہاکی کو اس کا کھویا ہوا مقام دلانا مقصد ہے، والدین کی دعاؤں سے ایوارڈ جیتنے میں کامیاب ہوا۔ واضح رہے کہ سفیان ایف آئی ایچ ایوارڈ جیتنے والے پہلے پاکستانی ہیں جبکہ پینلٹی کارنر ایکسپرٹ اس سال اذلان شاہ ٹورنامنٹ کے بہترین کھلاڑی قرار پائے۔,Sports
6,حارث رؤف نے شاہین آفریدی اور ثقلین مشتاق کا ریکارڈ توڑ دیا,https://urdu.arynews.tv/haris-milestones-in-second-australia-odi/,قومی ٹیم کے فاسٹ بولر حارث رؤف نے آسٹریلیا کے خلاف میچ میں شاہین آفریدی اور ثقلین مشتاق کا ریکارڈ توڑ دیا۔ ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا۔ فاسٹ بولر نے جوش انگلس کو 18 رنز پر کپتان محمد رضوان کے ہاتھوں کیچ آؤٹ کروایا، مارنوس لبوشین بھی 6 رنز پر حارث کا نشانہ بنے۔ ایرون ہارڈی، گلین میکسویل اور کپتان پیٹ کمنز کو بھی حارث رؤف نے پویلین کا راستہ دکھایا۔ حارث رؤف نے 30 اکتوبر 2020 کو ون ڈے ڈیبیو کیا جس کے بعد سے حارث نے 39 میچز میں 77 وکٹیں حاصل کی ہیں جو کہ اس عرصے میں کسی بھی فل ممبر ٹیم کے فاسٹ بولر کی سب سے زیادہ وکٹیں ہیں۔ حارث کی یہ پاکستان کے کسی بھی بولر کے کیرئیر کے ابتدائی 39 میچز میں سب سے زیادہ وکٹیں بھی ہیں، ایڈیلیڈ میں5  وکٹ لے کر انہوں نے اسپنر ثقلین مشتاق اور فاسٹ بولر شاہین آفریدی کا ریکارڈ توڑ دیا جو اپنے ابتدائی 39 میچوں میں 76 ، 76 وکٹیں حاصل کرچکے تھے۔ اس دوران صرف عمان کے بلال خان 83 وکٹوں کے ساتھ حارث سے آگے ہیں جبکہ عمان آئی سی سی میں ایسوسی ایٹ ممبر ٹیم ہے۔ دیگر فاسٹ بولرز میں آسٹریلیا کے فاسٹ بولر مچل اسٹارک نے 39 میچز میں 79 وکٹیں حاصل کی ہیں اور عمان کے بلال خان کی 83 وکٹیں بھی 39 میچز میں ہیں۔,Sports
7,رضوان اور زیمپا کی گفتگو سوشل میڈیا پر وائرل,https://urdu.arynews.tv/viral-pakvaus-mohammad-rizwan-adam-zampa/,پاکستان اور آسٹریلیا کے درمیان کھیلے گئے دوسرے ون ڈے میچ میں کپتان محمد رضوان اور ایڈم زیمپا کی گفتگو سوشل میڈیا پر وائرل ہوگئی۔ ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا۔ آسٹریلوی ٹیم پہلے بیٹنگ کرتے ہوئے 163 رنز پر ڈھیر ہوئی، پاکستان نے 164 رنز کا ہدف باآسانی 26.3 اوورز میں ایک وکٹ کے نقصان پر حاصل کرلیا۔ صائم ایوب نے 82 رنز کی برق رفتار اننگز کھیلی، ان کی اننگ میں پانچ چوکے اور چھ بلند و بالا چھکے شامل تھے، عبداللہ شفیق 64 اور بابر اعظم 15 رنز کے ساتھ نآٹ آؤٹ رہے۔ پاکستان اور آسٹریلیا کے درمیان تیسرا اور فیصلہ کن ون ڈے میچ اتوار کو کھیلا جائے گا۔ تاہم سوشل میڈیا پر ویڈیو وائرل ہورہی ہے اننگز کے 34ویں اوور میں نسیم شاہ بولنگ کررہے تھے ان کی شاٹ بال پر کپتان رضوان نے ریویو لیا لیکن ایڈم زیمپا سے ان کی گفتگو اسٹمپ مائیک ریکارڈ ہوگئی۔ ویڈیو میں دیکھا جاسکتا ہے کہ رضوان نے کیچ آؤٹ کی اپیل کی، زیمپا کہنے لگے تم ہر بات پر اہیل کررہے ہو، رضوان نے پھر بھی زیمپا سے پوچھا کہ اور ان کے ہاں کہنے پر ریویو بھی لے لیا۔ تھرڈ امپائر نے ایڈم زیمپا کو ناٹ آؤٹ قرار دیا، رضوان کے ریویو لینے پر کمنٹیٹرز بھی مسکرانے لگ گئے۔,Sports
8,حارث رؤف کی تباہ کن بولنگ کی ویڈیو دیکھیں,https://urdu.arynews.tv/viral-pakvsaus-haris-rauf-bowling/,قومی ٹیم کے فاسٹ بولر حارث رؤف نے آسٹریلوی بیٹنگ کا بھرکس نکال دیا، ان کی شاندار بولنگ کی ویڈیو دیکھیں۔ ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا۔ فاسٹ بولر نے جوش انگلس کو 18 رنز پر کپتان محمد رضوان کے ہاتھوں کیچ آؤٹ کروایا، مارنوس لبوشین بھی 6 رنز پر حارث کا نشانہ بنے۔ ایرون ہارڈی، گلین میکسویل اور کپتان پیٹ کمنز کو بھی حارث رؤف نے پویلین کا راستہ دکھایا۔ آسٹریلوی ٹیم پہلے بیٹنگ کرتے ہوئے 163 رنز پر ڈھیر ہوئی، پاکستان نے 164 رنز کا ہدف باآسانی 26.3 اوورز میں ایک وکٹ کے نقصان پر حاصل کرلیا۔ صائم ایوب نے 82 رنز کی برق رفتار اننگز کھیلی، ان کی اننگ میں پانچ چوکے اور چھ بلند و بالا چھکے شامل تھے، عبداللہ شفیق 64 اور بابر اعظم 15 رنز کے ساتھ نآٹ آؤٹ رہے۔ پاکستان اور آسٹریلیا کے درمیان تیسرا اور فیصلہ کن ون ڈے میچ اتوار کو کھیلا جائے گا۔ Comments,Sports
9,آسٹریلیا کیخلاف کیا پلان بنایا تھا؟ صائم ایوب نے بتادیا,https://urdu.arynews.tv/pakvsaus-saim-ayub-plan/,قومی ٹیم کے اوپنر بیٹر صائم ایوب نے بتایا ہے کہ آسٹریلیا کے خلاف کیا پلان بنایا تھا۔ ایڈیلیڈ میں کھیلے گئے دوسرے ون ڈے میچ میں پاکستان نے آسٹریلیا کو باآسانی 9 وکٹوں سے شکست دے کر تین میچوں کی سیریز 1-1 سے برابر کردی۔ حارث رؤف کو میچ میں پانچ وکٹیں حاصل کرنے پر بہترین کھلاڑی قرار دیا گیا۔ آسٹریلوی ٹیم پہلے بیٹنگ کرتے ہوئے 163 رنز پر ڈھیر ہوئی، پاکستان نے 164 رنز کا ہدف باآسانی 26.3 اوورز میں ایک وکٹ کے نقصان پر حاصل کرلیا۔ صائم ایوب نے 82 رنز کی برق رفتار اننگز کھیلی، ان کی اننگ میں پانچ چوکے اور چھ بلند و بالا چھکے شامل تھے، عبداللہ شفیق 64 اور بابر اعظم 15 رنز کے ساتھ نآٹ آؤٹ رہے۔ پاکستان اور آسٹریلیا کے درمیان تیسرا اور فیصلہ کن ون ڈے میچ اتوار کو کھیلا جائے گا۔ تاہم میچ کے بعد میڈیا سے گفتگو کرتے ہوئے اوپنر صائم ایوب نے کہا کہ بولر کوئی بھی ہو بال تو ہاتھ سے ہی کروارہا تھا، بس گیند کو دیکھنا ہے اور خود پر بھروسہ رکھ کر شاٹ کھیلنا ہے۔ انہوں نے کہا کہ پلان یہی تھا کہ نتائج کا نہیں سوچیں گے، مثبت انداز میں کھیلیں گے۔ صائم ایوب نے کہا کہ حارث رؤف نے دباؤ بنایا، دوسرے بولرز نے بھی ان کو سپورٹ کیا۔,Sports
10,افغانستان کے آل راؤنڈر نے ریٹائرمنٹ کا اعلان کردیا,https://urdu.arynews.tv/mohammad-nabi-to-take-odi-retirement-after-icc-champions-trophy-2025/,افغانستان کرکٹ ٹیم کے آل راؤنڈر محمد نبی نے ون ڈے کرکٹ سے ریٹائرمنٹ کا اعلان کردیا۔ افغان کرکٹ بورڈ کے چیف ایگزیکٹو نصیب خان کا کہنا ہے کہ آل راؤنڈر محمد نبی چیمپئنز ٹرافی کے بعد ون ڈے کرکٹ سے ریٹائرمنٹ لیں گے اور جس سے انہوں نے بورڈ کو آگاہ کردیا ہے۔ انہوں نے بتایا کہ محمد نبی نے چند ماہ قبل ریٹائرمنٹ کے حوالے سے گفتگو کی تھی۔ محمد نبی نے نصیب خان کو بتایا تھا کہ وہ چیمپئنز ٹرافی کے بعد ون ڈے کرکٹ کو خیرباد کہہ دیں گے۔ افغان کرکٹ بورڈ چیف ایگزیکٹو نے کہا کہ ہم محمد نبی کے فیصلے کو خوش آمدید کہیں گے، میں سمجھتا ہوں کہ وہ ٹی ٹوئنٹی کرکٹ میں اپنا کیرئیر جاری رکھنا چاہتے ہیں۔ واضح رہے کہ محمد نبی نے 2009 میں افغانستان کے لیے ڈیبیو کیا تھا، 39 سالہ کرکٹر نے 2019 میں ٹیسٹ کرکٹ سے ریٹائرمنٹ کا اعلان کیا تھا۔,Sports
