id,title,link,content,category
1,فلسطینی صدر کا ٹرمپ سے پہلا باضابطہ رابطہ، غزہ جنگ بندی پر ملکر کام کرنے کا عزم,https://urdu.dunyanews.tv/index.php/ur/World/849435,غزہ: (دنیا نیوز) فلسطینی صدر محمود عباس نے نومنتخب صدر ڈونلڈ ٹرمپ سے پہلا باضابطہ رابطہ کیا، ٹرمپ کو الیکشن میں کامیابی پر مبارکباد دی۔ دونوں رہنماؤں نے غزہ میں جنگ بندی کیلئے ملکر کام کرنے کے عزم کا اظہار کیا، محمودعباس نے کہا کہ امریکا کے ساتھ مل کر کام کر کیلئے تیار ہیں۔ امریکا کے نومنتخب صدر ڈونلڈ ٹرمپ نے کہا کہ خطے میں جنگ کے خاتمے کیلئے کام کروں گا۔,World
2,اسرائیل کی تباہ کن بمباری ، بیروت دھوئیں میں ڈوب گیا,https://urdu.dunyanews.tv/index.php/ur/World/849507,بیروت : (ویب ڈیسک ) اسرائیل اور حزب اللہ کے درمیان ایک ماہ سے زائد عرصے سے جاری تصادم کے دوران جنوبی لبنان میں بیروت کے جنوبی علاقے الضاحیہ پر رات کے وقت پرتشدد دھماکے ہوئے ہیں۔ عرب میڈیا کے مطابق نے آج کل شام نواحی علاقوں میں 14 سے زائد اسرائیلی فضائی حملے کیے گئے، حملوں میں لبنانی یونیورسٹی کے آس پاس کے علاقوں برج البراجنہ، حارہ حریک اور الحدث کو نشانہ بنایا گیا، حملوں کے بعد علاقےسیاہ دھوئیں میں ڈوب گئے۔ انہوں نے نشاندہی کی کہ دارالحکومت بیروت کے آسمان پر اب بھی دھوئیں کے بادل اٹھ رہے ہیں۔ اسرائیلی فوج کے ترجمان ’اویچائی ادرعی‘ نے لبنان کے تین علاقوں کا ذکر کرتے ہوئے وہاں کےرہائشیوں کو علاقہ فوری طورپر خالی کرنے کا حکم دیا۔ انہوں نے بتایا کہ جنوبی لبنان کے تین علاقوں پر پمفلٹس گرائےگئے ہیں اور شہریوں سے کہا گیا ہے کہ وہ ان علاقوں سے فوری طورپر نکل جائیں کیونکہ اسرائیلی فوج بمباری کرنے والی ہے۔ الضاحیہ کے علاقے کو کئی چھاپوں کا نشانہ بنایا گیا، ان میں سے ایک حملے میں بیروت ایئرپورٹ سے ملحقہ علاقے کو نشانہ بنایا گیا ،  یہ ایئرپورٹ لبنان کا بیرونی دنیا سے رابطے کا واحد ذریعہ ہے  تاہم مرکزی ہوائی اڈے کی عمارت کو کوئی نقصان نہیں پہنچا۔ دوسری جانب اسرائیل کی غزہ پر بمباری بھی جاری ہے ، اسرائیلی تازہ حملوں میں  21 فلسطینی شہید ہوگئے جبکہ 7 اکتوبر 2023 سے اب تک اسرائیلی فوج کی بربریت کے نتیجے میں 43ہزار سے زائد فلسطینی شہیداور ایک لاکھ سے زائد زخمی ہوئے ہیں ۔,World
3,امریکہ کا قطر سے سیاسی دفتر بند، حماس رہنماؤں کو ملک بدر کرنے کا مطالبہ,https://urdu.dunyanews.tv/index.php/ur/World/849436,واشنگٹن: (دنیا نیوز) امریکا نے قطر میں حماس کا سیاسی دفتر بند کرنے پر زور دے دیا۔ امریکا نے قطر سے حماس رہنماؤں کو ملک بدر کرنے کا بھی مطالبہ کردیا، امریکہ نے کہا کہ دوحا میں حماس کی موجودگی اب قابل برداشت نہیں۔ ترجمان حماس رہنما نے کہا کہ قطر کی حکومت نے ہم پر دفتر بند کرنے کیلئے دباؤ نہیں ڈالا۔,World
4,فرانس کا مغربی کنارے اسرائیلی آبادکاروں پر نئی پابندیاں لگانے پر غور,https://urdu.dunyanews.tv/index.php/ur/World/849423,بیت المقدس: (ویب ڈیسک) فرانس کے وزیر خارجہ جین نول باروٹ نے کہا ہے کہ ان کا ملک مقبوضہ مغربی کنارے میں اسرائیلی بستیوں میں توسیع کرنے والوں پر نئی پابندیاں لگانے پر غور کر رہا ہے۔ میڈیا رپورٹ کے مطابق رام اللہ میں فلسطینی صدر محمود عباس کے ساتھ ملاقات کے بعد فرانسیسی وزیر خارجہ نے کہا کہ فرانس نے یورپ کی سطح پرایسی پابندیوں کا پہلا نظام قائم کرنے میں اہم کردار ادا کیا ہے جن کا ہدف مقبوضہ فلسطینی علاقوں میں یہود آبادکاری کی سرگرمیوں میں ملوث افراد ہیں۔ انہوں نے کہا کہ یہ نظام دو مرتبہ فعال ہو چکا ہے اور ہم ان سرگرمیوں کو ہدف بنانے والے تیسری پابندیوں کے پیکج پر کام کر رہے ہیں جو بین الاقوامی قانون کے تحت غیرقانونی ہیں۔ فرانسیسی وزیر خارجہ نے اسرائیل فلسطین تنازع کے دو ریاستی حل کے لئے فرانس کے عزم کا اعادہ کیا اور خبردار کیا کہ آبادکاری کی سرگرمیاں اس سیاسی تناظر کے لئے خطرہ ہیں جو اسرائیل اور فلسطین کے لئے پائیدار امن کو یقینی بنا سکتے ہیں۔ واضح رہے کہ فلسطینی صدرسے ملاقات سے قبل فرانس کے وزیر خارجہ نے البیرہ کا دورہ کیا جہاں اسرائیلی آبادکاروں نے20 گاڑیوں کو آگ لگا ئی تھی اور جس سے قریبی عمارت کو نقصان پہنچا۔,World
5,جنوبی کوریا کا شمالی کوریا پر جی پی ایس سگنل جام کرنے کا الزام,https://urdu.dunyanews.tv/index.php/ur/World/849497,سیئول : (ویب ڈیسک ) جنوبی کوریا نے شمالی کوریا پر جی پی ایس سگنل جام کرنے کا الزام عائد کردیا۔ غیر ملکی میڈیا کے مطابق جنوبی کوریا کی فوج کا کہنا ہےکہ شمالی کوریا گلوبل پوزیشننگ سسٹم (جی پی ایس) کو جام کرنے کے لیے مسلسل سسٹم پر حملے کررہا ہے جس کے باعث متعدد شپس اور سویلین ائیر کرافٹ کے آپریشنز میں خلل پیدا ہوا ہے۔ جنوبی کوریا کے جوائنٹ چیفس آف سٹاف نے خبردار کیا ہےکہ شمالی کوریا کے جی پی ایس سگنل جام کرنے کی کوششوں کے دوران مغربی ساحلی علاقے میں شپس اور ائیرکرافٹ آپریشنز میں احتیاط برتی جائے۔ جنوبی کوریا کے جوائنٹس چیفس کا کہنا ہے  کہ شمالی کوریا ہیجو اور کیسونگ کے علاقوں میں جی پی ایس جیمنگ اٹیک کررہا ہے جس کے باعث متعدد چھوٹے بڑے بحری جہاز اور سویلین ائیرکرافٹس کو اپنے آپریشنز جاری رکھنے میں دشواری کا سامنا ہے۔ جنوبی کوریا کے عسکری حکام نے شمالی کوریا سے فوری طور پر جی پی ایس جیمنگ اٹیک بند کرنے کا مطالبہ کرتے ہوئے کہا کہ ایسا نہ کرنے کی صورت میں شمالی کوریا کو اپنے عمل کا جواب دینا ہوگا۔ جنوبی کوریا کے حکومتی عہدیداران نے دعویٰ کیا کہ 29 مئی سے 2 جون کے درمیان تقریباً 500 جہاز اور سیکڑوں شپس کو شمالی کوریا کی مداخلت کی وجہ سے مشکلات کا سامنا کرنا پڑا۔ حکام کا کہنا ہے کہ  اس حوالے سے اقوام متحدہ کی ایوی ایشن باڈی کو بھی شکایت کی گئی جبکہ انٹرنیشنل سول ایوی ایشن نے بھی شمالی کوریا کو اس عمل سے باز رہنے کی ہدایت کی ہے۔,World
6,جنوبی کوریا: ماہی گیروں کی کشتی ڈوب گئی، 2 افراد ہلاک، 12 لاپتہ,https://urdu.dunyanews.tv/index.php/ur/World/849417,سیئول: (ویب ڈیسک) جنوبی کوریا کے جزیرہ جیجو پر ماہی گیروں کی کشتی ڈوب گئی جس کے باعث 2 افراد ہلاک جبکہ 12 لاپتہ ہوگئے۔ میڈیا رپورٹ کے مطابق کوسٹ گارڈ نے بتایا کہ یہ حادثہ بیانگ سے تقریباً 24 کلومیٹر (15 میل) دور جزیرہ جیجو کے ساحل پر واقع ایک چھوٹے جزیرے پر پیش آیا، حادثے کی اطلاع ملتے ہی امددای کارروائیاں شروع کر دی گئیں، عملے کے15 افراد کو بچا لیا گیا، جن میں 2 افراد بے ہوشی کی حالت میں تھے جنہیں ہسپتال منتقل کیا گیا تاہم وہ جانبر نہ ہو سکے۔ کوسٹ گارڈ نے مقامی میڈیا کو بتایا کہ کشتی میں 27 افراد سوار تھے، جس میں 16 جنوبی کوریائی اور 11 غیر ملکی شامل تھے، کوسٹ گارڈ نے کہا کہ اس نے امدادی کارروائیوں کے لئے جائے وقوعہ پر 18 جہاز اور پانچ طیارے تعینات کردیئے ہیں۔ جنوبی کوریا کے صدر نے تمام دستیاب وسائل اور اہلکاروں کو متحرک ہونے کا حکم دیا، بحریہ نے چھ اضافی جہاز، ایک طیارہ اور ایک ہیلی کاپٹر بھی تعینات کر دیا۔,World
7,امریکا نے نیا پنڈورا باکس کھول دیا، ٹرمپ پر حملے کا الزام ایران پر عائد کردیا,https://urdu.dunyanews.tv/index.php/ur/World/849434,واشنگٹن: (دنیا نیوز) امریکا نے نیا پنڈورا باکس کھول دیا، ٹرمپ پر حملے کا الزام ایران پر عائد کر دیا۔ امریکا نے الزام لگایا ہے کہ ٹرمپ پر قاتلانہ حملے میں ایران ملوث ہے، قتل کی سازش میں تہران میں مقیم افغان شہری ملوث ہے جس پر فرد جرم عائد کر دی گئی، فرہاد شاکری کو پاسداران انقلاب نے ذمہ داری سونپی تھی۔ امریکی حکام کے مطابق ایران کیلئے سہولت کاری پر 2 امریکی شہریوں پر بھی فرد جر م عائد کی جاچکی، دونوں امریکی شہری حراست میں ہیں۔,World
8,کینیڈا نے ایک ہی ویزے پر متعدد بار ملک میں داخلے کے قوانین تبدیل کر دیئے,https://urdu.dunyanews.tv/index.php/ur/World/849422,مونٹریال: (ویب ڈیسک) کینیڈا نے ایک ہی ویزے پر متعدد بار ملک میں داخلے کے قوانین کو تبدیل کر دیا ہے۔ مقامی میڈیا کی رپورٹ کے مطابق کینیڈا امیگریشن کی آفیشل ویب سائٹ پر نئے اصولوں کے مطابق پہلے جاری کردہ ملٹی پل انٹری ویزا دستاویز اب کینیڈا میں داخلے کے لیے معیار نہیں رہے گا۔ رپورٹ کے مطابق اب یہ اختیار امیگریشن افسر کو دے دیا گیا ہے کہ آیاکسی غیر ملکی کوایک ویزہ پر ایک یا ایک سے زیادہ مرتبہ کینیڈا میں داخل ہونے کی اجازت دی جائے، اس کے علاوہ امیگریشن افسر اپنی صوابدید پر مدت بارے بھی فیصلہ کر سکتا ہے۔ رپورٹ کے مطابق ملٹی پل انٹری ویزا کے تحت کوئی بھی شخص جس کے پاس مجاز ویزا ہے وہ اس کی مدت کے دوران جتنی بار چاہے کسی بھی ملک سے کینیڈا میں داخل ہو سکتا ہے لیکن قانون میں ترمیم کے بعد اب متعلقہ اتھارٹی سنگل یا ایک سے زیادہ انٹری ویزا جاری کرنے کا صوابدیدی فیصلہ کر سکتی ہے۔,World
9,چین اور اٹلی کے تعلقات سے ترقی میں مزید تیزی آئیگی، عوام کو فوائد حاصل ہونگے: شی پنگ,https://urdu.dunyanews.tv/index.php/ur/World/849421,بیجنگ: (ویب ڈیسک) اطالوی صدر سرجیو میٹاریلا نے بیجنگ میں چینی صدر شی جن پنگ سے ملاقات کی، جس میں دونوں ملکوں کے مابین دو طرفہ تعلقات پر تفصیلی تبادلہ خیال کیا گیا۔ چینی میڈیا رپورٹ کے مطابق چینی صدر نے گفتگو کرتے ہوئے کہا کہ وہ سات سال بعد اطالوی صدر کے چین کے دوسرے سرکاری دورے کا خیرمقدم کرتے ہیں، یہ سال چین اور اٹلی کے درمیان جامع سٹریٹجک شراکت داری کے قیام کی بیسویں سالگرہ کا سال ہے۔ چینی صدر نے کہاکہ یقین ہے کہ اس دورے سے چین اور اٹلی کے تعلقات کی ترقی میں مزید تیزی آئے گی اور ایک نئے تاریخی نقطہ آغاز پر دونوں ممالک کے عوام کو زیادہ سے زیادہ فوائد حاصل ہوں گے۔ ان کا مزید کہنا تھا کہ اس وقت جب دنیا ایک صدی میں نہ نظر آنے والی بڑی تبدیلیوں سے گزر رہی ہے، چین اور اٹلی کو دو قدیم تہذیبوں کی حیثیت سے کھلے پن اورشمولیت کی اپنی روایت کو آگے بڑھانا چاہئے۔ چینی صدر نے کہا کہ عالمی برادری میں بات چیت کے ذریعے اختلافات کو حل کرنے اور تعاون کے ذریعے تنازعات کو دور کرنے کی ترغیب دینی چاہئے تاکہ ایک ہم آہنگ دنیا کی مشترکہ تعمیر کی جائے۔ صدر شی جن پنگ اور اطالوی صدر سرجیو میٹاریلا نے بیجنگ میں چین اٹلی ثقافتی تعاون میکانزم کی کانفرنس اور چین اور اٹلی کی جامعات کے صدور کے مکالمے میں شرکت کرنے والے دونوں فریقوں کے نمائندوں سے بھی ملاقات کی۔,World
10,نیپال میں دو مسافر بسوں میں تصادم، 4 افراد ہلاک، 6 شدید زخمی,https://urdu.dunyanews.tv/index.php/ur/World/849420,کھٹمنڈو: (ویب ڈیسک) نیپال میں دو مسافر بسوں میں تصادم سے چار افراد ہلاک اور 6 شدید زخمی ہو گئے۔ میڈیا رپورٹ کے مطابق ضلع چتوان کے پولیس ترجمان بھیش راج رجال نے بتایا کہ یہ حادثہ گزشتہ روز مسافر بس اور ایک الیکٹرک مائیکرو بس کے درمیان پیش آیا۔ حادثے کے باعث مائیکرو بس میں سوار تمام افراد موقع پر ہی دم توڑ گئے، انہوں نے بتایا کہ زخمیوں میں سے2 کی حالت تشویش ناک ہے۔,World
