id,title,link,content,gold_label
402,سلمان خان کا شاہ رخ خان کے ’منت‘ سے متعلق بڑا انکشاف,https://www.express.pk/story/2732327/salman-khan-reveals-srk-mannat,بالی ووڈ کے دبنگ خان نے ممبئی میں موجود شاہ رخ خان کی پرتعیش رہائش گاہ ’منت‘ کے حوالے سے بڑا انکشاف کیا ہے۔ بھارتی میڈیا رپورٹ کے مطابق سلمان خان نے ایک شو میں اس بات کا انکشاف کیا اور بتایا کہ ممبئی میں سمندر کنارے قائم بنگلے جسے آجکل منت کے نام سے جانا جاتا ہے اُس کی خریداری کی پیش کش پہلے مجھے ہوئی تھی۔ میڈیا رپورٹ کے مطابق جب اس پرتعیش اور آئیڈیل بنگلے کی پیش کش سلمان خان کو ہوئی اُس وقت بھی انڈسٹری میں اُن کا طوطی بول رہا تھا تاہم جب دبنگ خان نے اس پراپرٹی کی خریداری کے حوالے سے اپنے والد سلیم خان سے بات کی تو انہوں نے انکار کردیا۔ شو میں سوال کا جواب دیتے ہوئے سلمان خان نے بتایا کہ جب والد کو منت خریدنے سے متعلق بتایا تو انہوں نے جواب دیا کہ اتنے بڑے گھر کا کیا کریں گے؟۔ سلمان خان کے مطابق انہوں نے والد کے مشورے اور تجویز کے بعد منت نہ خریدنے کا فیصلہ کیا۔ واضح رہے کہ ممبئی میں سمندر کنارے قائم شاہ رخ خان کی رہائش گاہ کو منت کے نام سے جانا جاتا ہے اور اس گھر کی تمام ڈیزائننگ کنگ خان کی اہلیہ گوری خان نے کی تھی۔ بھارتی میڈیا کے مطابق شاہ رخ خان نے یہ ولا 13.32 کروڑ بھارتی روپے میں خریدا تھا تاہم اب اس کی قیمت 200 کروڑ سے بھی بڑھ چکی ہے۔,entertainment
403,اداکار پربھاس نے فلم انڈسٹری کا سب سے بڑا معاہدہ کرلیا,https://www.express.pk/story/2732321/prabhas-signs-the-biggest-ever-deal-in-indian-cinema,شہرت کی بلندیوں کو چھونے والے بالی ووڈ اداکار پربھاس نے اب تک کا سب سے بڑا معاہدہ طے کرلیا ہے۔ تفصیلات کے مطابق باہوبلی فلم سے شہرت کی بلندیوں کو پہنچنے والے اداکار پربھاس کی نئی فلم کالکی اے ڈی 2898 نے بھی ریلیز کے ساتھ ہی باکس آفس پر کئی ریکارڈ توڑ دیے ہیں۔ اس فلم کی باکس آفس پر کامیابی کی دیگر وجوہات میں سے ایک بڑی وجہ اداکار پربھاس کی جاندار اداکاری بھی ہے جس کو شائقین بہت زیادہ پسند کررہے ہیں۔ اب بھارت کی مقامی ویب سائٹ تیلگو 360 کی رپورٹ کے مطابق اداکار پربھاس نے اپنے کیریئر کا اب تک کا سب سے بڑا معاہدہ طے کرلیا ہے اور یہ معاہدہ ہومبلے فلمز پروڈکشن ہاؤس کے ساتھ دستخط کیا گیا ہے۔ معاہدے کے تحت پروڈکشن ہاؤس تین فلمیں بنائے گا جس میں پربھاس کا کردار مرکزی ہوگا۔ واضح رہے کہ یہ وہی پروڈکشن ہاؤس ہے جس نے کے جی ایف، کانتارا اور سالار جیسی سپر ہٹ فلمیں تیار کی ہیں۔ پربھاس کے ساتھ ہونے والے معاہدے کا اعلان ہومبلے فلمز نے کیا اور اس پر مسرت کا اظہار بھی کیا۔ پروڈکشن ہاؤس نے بتایا کہ پربھاس کے ساتھ ہمارا سفر ویسے تو لامحدود ہے تاہم معاہدے کے تحت ہمارا سفر سالار 2 سے شروع ہوگا۔ واضح رہے کہ سالار 2 دراصل پہلی فلم کا سیکوئل ہے جسے اگلے سال ریلیز کیا جائے گا جبکہ دیگر دو فلمیں 2027 اور 2028 میں ریلیز کی جائیں گی۔ فلمی مبصرین کے مطابق دیگر دو فلموں کو لوکیش کناگراج اور پرشانت ورما ڈائریکٹ کریں گے۔,entertainment
404,آرٹس کونسل کے زیر اہتمام ’عوامی تھیٹر فیسٹیول 2024‘ کا آغاز,https://www.express.pk/story/2732310/acp-awami-theater-festival-inauguration,آرٹس کونسل آف پاکستان کراچی کے زیر اہتمام 21 روزہ ’عوامی تھیٹر فیسٹیول 2024‘ کا آغاز کردیاگیا۔ فیسٹیول کا افتتاح صدر آرٹس کونسل محمد احمد شاہ نے کیا۔ افتتاحی تقریب میں نذر حسین، آدم راٹھور، شکیل صدیقی، رؤف لالہ، ذاکر مستانہ، شکیل شاہ، یونس میمن، زاہد شاہ، تسنیم رانا، رضوان صابر، دانش بلوچ، وجیہہ وارثی، عامر ریمبو، عبدالحمید راٹھور،جمیل راہی، خادم حسین اچوی، الیاس ندیم، سمیت معروف فنکاروں نے شرکت کی۔ افتتاحی تقریب سے گفتگو کرتے ہوئے صدر آرٹس کونسل محمد احمد شاہ نے کہاکہ پاکستان بنیادی طور پر عوام کے لیے بنا۔ لوگوں کے چہروں پر مسکراہٹیں بکھیرنا ہی عوامی تھیٹر فیسٹیول کا مقصد ہے۔ یہ 21 دن کا فیسٹیول ہے اور مزید بڑھ سکتا ہے ۔ آپ یہ سمجھیں کہ ہم ساری دنیا کو بلاتے ہیں لیکن اپنے فنکاروں کو نہیں بھولتے، ہم آسماں پر نہیں زمین پر ہی رہتے ہیں۔ انہوں نے کہا کہ میں یہ سب وزیر بننے کے لیے نہیں کر رہا ہوں، میں اس ملک کے نوجوانوں کے لیے کام کرنا چاہتا ہوں۔ خدارا ہمیں کام کرنے دیں، میں اپنے وزیر اعظم اور تمام وزراءسے کہوں گا کہ جو ووٹ آپ کو لوگ دے رہے ہیں ان کے لیے کام کریں۔ انہوں نے کہاکہ ہمارے جتنے بھی ساتھی چلے گئے ان سب نے آرٹس کونسل میں تھیٹر کیا، ہم ’عوامی تھیٹر فیسٹیول‘ اپنی روایت کو توڑنا نہیں چاہتے۔ انہوں نے کہاکہ کسی کو کسی پر ترجیح نہیں ، ٹوپی والا ہو ، چپل والا یا گاڑی والا جو پہلے آئے وہ سیٹ پر بیٹھے گا۔ بد قسمتی سے ہمارے ہاں ساری سہولیات محدود ہو جاتی ہیں، عوام کو مفت تفریح فراہم کا یہ واحد طریقہ ہے۔ عوامی تھیٹر فیسٹیول پہلی بار اوپن ایئر کے بجائے اے سی آڈیٹوریم میں کیا جا رہا ہے، اس فیسٹیول کا سہرا گورننگ باڈی ، آرٹس کونسل کے ممبران اور آرٹس کونسل کی ٹیم کو جاتا ہے۔ اداکار رؤف لالہ نے کہاکہ ورلڈ کلچر فیسٹیول سے کراچی کی رونقیں بحال کرنے میں احمد شاہ کا بہت بڑا ہاتھ ہے۔عوامی تھیٹر فیسٹیول کے انعقاد پر صدر آرٹس کونسل کو سلام پیش کرتے ہیں۔ انہوں نے کہاکہ آج بھی ساری دنیا معین اختر، عمر شریف اور سکندر صنم جیسے آرٹسٹوں کو یاد کرتی ہے۔ اداکار ذاکر مستانہ نے کہاکہ احمد شاہ کراچی کی عوام کو تفریح فراہم کرنے کے لیے کچھ نہ کچھ کرتے رہتے ہیں۔تھیٹر کی بحالی کے لیے بھی بہت کام کررہے ہیں۔ اس فیسٹیول میں اردو ، سندھی ، پشتو ، سرائیکی ،میمنی اور دیگر زبان میں ڈرامے شامل ہیں امید ہے کراچی کی عوام کو عوامی تھیٹر فیسٹیول میںمزہ آئے گا۔ ڈائریکٹر زاہد شاہ نے کہاکہ عوامی تھیٹر فیسٹیول کا انعقاد خوش آئند ہے۔یہ کام صرف احمد شاہ ہی کرسکتے ہیں۔احمد شاہ فنکار برادری کے لیے بہت کام کررہے ہیں۔ فیسٹیول کے پہلے روز رائٹر و ڈائریکٹر شکیل شاہ کا اصلاحی اسٹیج ڈرامہ  ’خواہش‘  پیش کیا گیا جس کی کاسٹ میں ذاکر مستانہ، شہنی عظیم، شانزے، شبیر بھٹی، سپنا غزل، شہباز صنم، اشرف چراغ اور شکیل شاہ بھی شامل تھے۔ ڈرامہ کی کہانی خواہشات کے گرد گھومتی ہے جس میں دکھایا گیا ہے کہ ایک عورت کس طرح اپنی خواہشات کے انبار لگاتی ہے۔ دولت، بیٹے کے بچے نہ ہونا سمیت دیگر دنیاوی خواہشات اس کی سوچ کا وطیرہ ہوتی ہیں۔ اسی دوران اسے ایک بزرگ ملتے ہیں جو کہتے ہیں کہ تمہاری ہر خواہش پوری ہوجائے گی مگر ہر خواہش کی ایک قیمت ادا کرنا پڑے گی۔ پھر وہ ایک کروڑ روپے مانگتی ہے تو اسے پیسے مل جاتے ہیں مگر اس کے بیٹے کا ایکسیڈنٹ ہوتا ہے اور وہ مر جاتا ہے جس کے بیمہ کی رقم کی صورت میں اسے پیسے ملتے ہیں۔ اس طرح وہ تین خواہشات کا سامنا کرتی ہے ۔ 9نومبر کو رات 8 بجے ڈرامہ ’واہ سائیں واہ‘ سندھی زبان میں پیش کیا جائے گا۔ واضح رہے کہ روزانہ کی بنیاد پر ’عوامی تھیٹر فیسٹیول‘ میں مختلف سماجی و ثقافتی موضوعات پر ڈرامے پیش کیے جائیں گے جس میں عوام کا داخلہ مفت ہے۔,entertainment
405,یاسر نواز ٹیٹو بنوانے پر تنقید کی زد میں، اداکار کی وضاحت آگئی,https://www.express.pk/story/2732293/yasir-nawaz-ko-tatto-banwane-par-tanqeed-ki-zad-main-adakar-ki-wazahat-agai,پاکستان شوبز کے اداکار اور ہدایتکار یاسر نواز کو سوشل میڈیا پر اپنے بازو پر بنے ٹیٹو کے باعث  شدید تنقید کا سامنا کرنا پڑ رہا ہے۔ یاسر اور ندا اپنے یوٹیوب چینل پر مختلف ویڈیوز پوسٹ کرتے ہیں جو مداحوں میں مقبول بھی ہوتی ہیں تاہم اس مرتبہ یاسر نواز کی ویڈیو میں ان کے بازو پر بنے ٹیٹو کی وجہ سے مشکل کا سامنا کرنا پڑ رہا ہے۔ مداحوں کی جانب سے اداکار کو تنقید کا نشانہ بناتے ہوئے کہا گیا ہے کہ ہمار دین میں ٹیٹو بنوانا حرام ہے اور اداکار کو یہ نہیں بنوانا چاہیئے۔ تاہم اب مداحوں کی تنقید پر یاسر نواز نے وضاحت پیش کرتے ہوئے انہیں اس ٹیٹو کی حقیقت بتا دی ہے۔ اداکار نے اپنی حالیہ ویڈیو میں بتایا کہ جس ٹیٹو کی وجہ سے ان پر تنقید کی جارہی ہے وہ دراصل مستقل نہیں بلکہ عارضی رہنے والا ٹیٹو ہے جو آہستہ آہستہ غائب ہو جائے گا۔ اداکار نے بتایا کہ جب میں اسے صابن سے دھو دوں گا تو اس کے 10 سے 12 دن بعد یہ ٹیٹو بلکل غائب ہوجائے گا، ان کا کہنا تھا کہ انہیں ایک مرتبہ ٹیٹو بنوا کر اپنا شوق پورا کرنا تھا اس لئے انہوں نے یہ عارضی ٹیٹو بنوایا تھا۔ یاد رہے کہ یاسر نواز اداکارہ و میزبان ندا یاسر کے شوہر ہیں ان دونوں کی جوڑی بےحد مقبول ہے اور یہ خوبصوت جوڑی سوشل میڈیا پر ایکٹو نظر آتی ہے جو اپنی تصاویر اور ویڈیوز کو مداحوں کے ساتھ شیئر کرتے رہتے ہیں تاہم اکثر انہیں تنقید کا سامنا بھی کرنا پڑتا ہے۔,entertainment
406,مہوش حیات اور ہنی سنگھ کا گانا ریلیز کر دیا گیا,https://www.express.pk/story/2732286/mehwish-hayat-or-honey-singh-ka-gana-release-kr-dia-gia,پاکستان شوبز کی اداکارہ مہوش حیات اور بھارتی ریپر و گلوکار ہنی سنگھ کے نئے گانے ’جٹ محکمہ‘ کی ویڈیو ریلیز کر دی گئی۔ ہنی سنگھ نے اپنے نئے میوزک ویڈیو میں پاکستان کی صف اول کی اداکارہ مہوش حیات کو شامل کیا ہے جس کا اعلان ان کی جانب سے کچھ دن قبل کیا گیا تھا اور ان دونوں آرٹسٹ کی تصاویر اور ویڈیوز بھی سوشل میڈیا پر وائرل ہوئی تھیں۔ A post shared by DIVA Magazine Pakistan (@divamagazinepakistan) اب اس میوزک ویڈیو کو ریلیز کر دیا گیا ہے جس میں مہوش حیات کالے رنگ کا مغربی لباس زیب تن کئے ہوئے ہیں جبکہ ہنی سنگھ سرمئی رنگ کا تھری پیس اور ساتھ لانگ کورٹ پہنے ہوئے ہیں۔ ویڈیو سانگ ’جٹ محکمہ‘ کو ٹی سیریز میوزک کی جانب سے سوشل میڈیا پر شیئر کیا گیا ہے جس میں ہنی سنگھ اور مہوش حیات کو بھی ٹیک کیا گیا جبکہ اس میوزک ویڈیو کو یوٹیوب پر بھی ریلیز کر دیا گیا ہے۔ یاد رہے کہ اس گانے کا ٹیزر سامنے آنے پر مہوش حیات کو اس گانے میں بولڈ لباس پہننے کیلئے شدید تنقید کا نشانہ بنایا گیا تھا۔,entertainment
407,آریان خان نے والد کی سب سے بڑی خوبی بتا دی، انٹرویو وائرل,https://www.express.pk/story/2732283/arian-khan-n-oald-ki-sb-s-bi-khobi-bta-di-anroio-oaerl,بالی ووڈ کے سپر اسٹار شاہ رُخ خان کے بڑے بیٹے آریان خان کا کہنا ہے کہ ان کے والد مارکیٹنگ کے معاملے میں بہت ذہین ہیں۔ شاہ رُخ خان کی بیٹی نے اداکاری جبکہ بیٹے نے کاروبار کی دنیا میں قدم رکھ دیا ہے، آریان خان نے حال ہی میں ایک انٹرویو دیا ہے جس میں انہوں نے اپنے والد کی شمار صلاحیتوں کے بارے میں گفتگو کی۔ آریان خان نے بتایا کہ ان کے والد بزنس میں ان کی بہت رہنمائی کرتے ہیں اور وہ نہ صرف کاروباری صلاحیتوں بلکہ مارکیٹنگ کیلئے بھی بےحد ذہین ہیں۔ آریان خان نے بتایا کہ ان کے بزنس میں والد ی انکی بہت مدد کرتے ہیں یہی وجہ ہے کہ وہ شاہ رُخ کے ساتھ اپنے برانڈز کے مارکیٹگ شوٹس میں بھی موجود ہوتے ہیں۔ A post shared by D'YAVOL X (@dyavol.x) 26 سالہ آریان کا کہنا تھا کہ والد کے ساتھ مل کر لگژری ملبوسات کا برانڈ لانچ کرنے کا ان کا فیصلہ بہترین تھا، آریان نے انکشاف کیا کہ وہ والد کے ساتھ اپنے برانڈ کے مارکیٹنگ آئیڈیاز بھی اس ہی لئے شیئر کرتے ہیں کیونکہ ان کے والد کا فیشن سینس اور مارکیٹنگ کے آئیڈیاز بہت بہترین ہوتے ہیں۔ آریان نے مزید بتایا کہ ان کے والد زندگی کے دیگر معاملات میں بھی ان کی اور انکی بہن کی رہنمائی کرتے ہیں جب وہ کسی مسئلے میں الجھ جاتے ہیں تو وہ ایک قدم پیچھے جانے کو کہتے ہیں تاکہ وہ زیادہ واضح طور مسائل کو سمجھ کر اس کا حل نکال سکیں۔ A post shared by Aryan Khan (@___aryan___) واضح رہے کہ آریان خان نے منشیات کے کیس سے بری ہونے کے بعد آریان نے D’YAVOL لگژری ملبوسات کا بزنس گزشتہ برس شروع کیا تھا۔,entertainment
408,اداکارہ صحیفہ جبار نے تیزی سے اپنا وزن کیسے کم کیا؟,https://www.express.pk/story/2732277/adakara-sahifa-jabbar-ne-taizi-se-apna-wazan-kese-kam-kiya,پاکستان شوبز کی خوبرو اداکارہ و ماڈل صحیفہ جبار خٹک نے اپنی فٹنس کا راز بتا دیا۔ اداکارہ صحیفہ جبار حال ہی میں اداکار و میزبان فیصل قریشی کے پوڈکاسٹ میں شریک ہوئیں جہاں انہوں نے شوبز سمیت اپنی ذاتی زندگی کے بارے میں  کھل کر گفتگو کی۔ فیصل قریشی نے اداکارہ سے سوال کیا کہ وہ فٹنس کیلئے جم جاتی ہیں جس پر صحیفہ نے بتایا کہ وہ ایک عرصے سے جم نہیں جارہی اور اگر وہ جم جوائن بھی کرلیں تو انہیں دکھ ہوتا ہے کہ وہ فیس دے کر 2 دن کے بعد دوبارہ جم نہیں جاسکیں۔ A post shared by Galaxy Lollywood (@galaxylollywood) صحیفہ نے بتایا کہ انکی فٹنس کا راز ہے ڈپریشن، کیونکہ وہ سالوں سے اپنے شوہر سے دور ہیں نہ ان کے شوہر کینیڈا سے پاکستان آسکتے ہیں اور نہ ہی اداکارہ کینیڈا جاسکتی ہیں یہی وجہ ہے کہ وہ ڈپریشن میں رہتی ہیں اور انہوں نے تیزی سے وزن کم کیا ہے۔ اداکارہ نے ڈپریشن کو شوہر سے دوری کی وجہ قرار دیتے ہوئے کہا کہ وہ شوہر سے دور رہنے کی وجہ سے ایک عرصے سے ڈپریشن میں مبتلا ہیں، اداکارہ کا کہنا تھا کہ اگر شوہر اچھا نہ ہو تو دور ہونے میں کوئی غم نہیں مگر میرے شوہر بےحد اچھے ہیں اور ان کے بغیر رہنا میرے لئے بہت مشکل ہے۔ A post shared by Saheefa Jabbar Khattak (@saheefajabbarkhattak) فیصل قریشی نے بھی صحیفہ جبار کی بات سے اتفاق کرتے ہوئے بتایا کہ وہ انکے شوہر سے مل چکے ہیں اور وہ واقعی بہت اچھے انسان ہیں۔ یاد رہے کہ اداکارہ صحیفہ جبار خٹک اپنے سوشل میڈیا اکاؤنٹس پر بھی شوہر کے ساتھ بنائی گئی تصاویر اور ویڈیوز شیئر کرتے ہوئے ان سے اپنی محبت کا اظہار کرتی نظر آتی ہیں۔ صحیفہ جبار ڈرامہ لوگ کیا کہیں گے، بھول، رفتہ رفتہ اور بیٹی میں اداکاری کے جوہر دکھا چکی ہیں جبکہ ان کا ڈرامہ بیٹی ان کیلئے شہرت کی وجہ بنا کافی مقبول رہا۔,entertainment
409,کرائم پٹرول کے نوجوان اداکار کی اچانک موت، بھارتی انڈسٹری میں سوگ کی فضا,https://www.express.pk/story/2732263/crime-petrol-k-adakar-ki-achanak-mout-bharti-industry-mein-sog-ki-fiza,بھارت کے ٹیلی ویژن اداکار نیتن چوہان کی گھر سے لاش برآمد ہوئی ہے۔ بھارتی میڈیا رپورٹ کے مطابق 35 سالہ اداکار نیتن چوہان رئیلیٹی شو ’داداگیری‘ کے دوسرے سیزن کے فاتح، ’ایم ٹی وی اسپلٹز ولا‘ اور ’کرائم پیٹرول‘ میں اداکاری کے لیے مشہور تھے۔ رپورٹ میں بتایا گیا ہے کہ اداکار ممبئی میں اپنے فلیٹ میں مردہ حالت میں پائے گئے ہیں تاہم ان کی موت کی وجہ جاننے کیلئے تفتیش کی جارہی ہے۔ ابتدائی معلومات کے مطابق، ممبئی پولیس نے اس واقعے کو خودکشی کا کیس قرار دیا ہے۔ بتایا گیا ہے کہ اداکار ڈپریشن کا علاج کروا رہے تھے، نیتن کی بیوی نے پولیس کو اپنے بیان میں بتایا کہ انہیں گزشتہ تین سے چار سال سے کوئی کام نہیں مل رہا تھا جسکی وجہ سے وہ شدید ذہنی دباؤ کا شکار تھے۔ نیتن چوہان کی موت کی خبر سن کر ان کے دوستوں اور ساتھیوں نے سوشل میڈیا پر افسوس اور تعزیت کا اظہار کیا ہے۔ A post shared by Viral Bhayani (@viralbhayani) ویبھوٹی ٹھاکر نے انسٹاگرام پر ایک بلیک اینڈ وائٹ تصویر کے ساتھ لکھا، ’میرے عزیز، سکون میں رہو (RIP)، میں واقعی حیرت زدہ اور غمگین ہوں، کاش تم میں تمام مشکلات کا سامنا کرنے کی طاقت ہوتی، کاش تم اپنے جسم کی طرح ذہنی طور پر مضبوط ہوتے‘۔ٹی وی اداکار سدھیپ سہیر نے بھی انسٹاگرام اسٹوری پر نیتن کی تصویر شیئر کرتے ہوئے لکھا، ’سکون میں رہو (RIP)، دوست‘۔ ویبھوٹی اور سدھیپ نے نیتن کے ساتھ ’تیرا یار ہوں میں‘ کام کیا تھا، نتن کو آخری مرتبہ اس ہی ڈرامے میں 2022 میں دیکھا گیا تھا جس کے بعد وہ اسکرین سے اوجھل ہوگئے تھے۔ یاد رہے کہ نیتن کا تعلق اتر پردیش کے علی گڑھ سے تھا۔ انہیں ٹی وی انڈسٹری میں پہلا بریک تھرو 2009 میں رئیلیٹی شو ’داداگیری 2‘ میں کامیابی حاصل کر کے ملا۔ نیتن نے ’ایم ٹی وی اسپلٹز ولا‘ کے پانچویں سیزن سمیت ’زندگی ڈاٹ کام‘ اور ’کرائم پیٹرول‘ جیسے دیگر شوز میں بھی کام کر کے شہرت کمائی۔ اداکار کے انسٹاگرام اکاؤنٹ سے پتہ چلتا ہے کہ وہ فٹنس کے شوقین تھے۔,entertainment
410,دیپیکا کی بیٹی کے ہمراہ پہلی جھلک سوشل میڈیا پر وائرل,https://www.express.pk/story/2732253/deepika-ki-beti-k-hamra-pehli-jhalak-social-media-pr-viral,ممبئی: بالی وڈ کی مشہور جوڑی دیپیکا پڈوکون اور رنویر سنگھ کو پہلی بار اپنی نومولود بیٹی دُعا پاڈوکون سنگھ کے ساتھ عوام کے سامنے دیکھا گیا ہے جس کی ویڈیوز اور تصاویر سوشل میڈیا پر وائرل ہورہی ہیں۔ ایئرپورٹ پر دیپیکا اپنی بیٹی کو پیار سے گود میں اٹھائے ہوئے نظر آئیں، جبکہ رنویر بھی ان کے ساتھ موجود تھے۔ کار میں لی گئی تصویروں میں دیپیکا کو سفید اور بیج رنگ کے لباس میں بیٹی کو محبت سے سینے سے لگائے ہوئے دیکھا گیا، جبکہ رنویر گلابی رنگ کی ہوڈی میں نظر آئے۔ A post shared by Viral Bhayani (@viralbhayani) سیکورٹی چیک کے دوران بھی یہ جوڑی اپنے بچے کے ساتھ محبت بھرے انداز میں کھڑی نظر آئی، جس نے مداحوں کے دل جیت لیے۔ مداحوں کو اداکارہ کو انکی بیٹی کے ساتھ دیکھنے کا بےصبری سے انتظار تھا ان کی جانب سے وائرل ویڈیوز اور تصاویر پر دلچسپ ردِعمل سامنے آرہا ہے۔ سوشل میڈیا پر مداح اپنی پسندیدہ اداکار اور ان کی بیٹی سے محبت اور نیک تمناؤں کا اظہار کر رہے ہیں۔ A post shared by Viral Bhayani (@viralbhayani) واضح رہے کہ دیپیکا اور رنویر نے اپنی بیٹی کا نام دیوالی کے موقع پر بتایا۔ انہوں نے تصویر کے کیپشن میں لکھا: ’دُعا پاڈوکون سنگھ، ’دعا‘کیونکہ وہ ہماری دعاؤں کا جواب ہے۔ ہمارے دل محبت اور شکرگزاری سے بھرے ہیں‘۔ اس سے قبل رنویر نے اپنی نئی فلم ’سنگھم اگین‘ کے ٹریلر لانچ پر یہ بھی بتایا کہ ان کی بیٹی فلم میں اسکرین پر نظر آئے گی۔ انہوں نے مزاحیہ انداز میں کہا، ’اس فلم میں لیڈی سنگھم، بیبی سنگھم، اور سمبا سب ہوں کیونکہ فلم کی شوٹنگ کے دوران دیپیکا پریگنینسی چل رہی تھی‘۔ A post shared by दीपिका पादुकोण (@deepikapadukone) خیال رہے کہ دیپیکا اور رنویر کی پہلی ملاقات 2013 میں سنجے لیلا بھنسالی کی فلم ’گولیوں کی راس لیلا رام لیلا‘ کے دوران ہوئی، جس کے بعد انہوں نے کچھ سال تک ایک دوسرے کو ڈیٹ کیا اور 2018 میں اٹلی میں شادی کی۔,entertainment
411,سدھارتھ ملہوترا ماروتی سوزوکی کی مقبول گاڑی ڈزائر کے برانڈ ایمبیسڈر مقرر,https://www.express.pk/story/2732223/sidharthmalhotra-marutisuzuki-ki-gadi-desire-ke-brand-ambassador-muqarar,"ماروتی سوزوکی انڈیا لمیٹڈ نے اپنی مقبول گاڑی ڈزائر کے چوتھے جنریشن ماڈل کے لیے بالی ووڈ کے معروف اداکار سدھارتھ ملہوترا کو برانڈ ایمبیسڈر مقرر کر دیا ہے۔ اس موقع پر کمپنی نے سدھارتھ کی جھلک پر مشتمل ایک نیا ٹی وی سی بھی جاری کیا ہے جس میں اداکار کا دلکش اور سجیلا انداز مداحوں کو خوب بھایا ہے۔ ماروتی سوزوکی کے سینئر ایگزیکٹو افسر پارتھو بنرجی نے کہا کہ ہندوستان میں تیزی سے بڑھتی ہوئی نوجوان نسل، جنہیں ہم ""تھرائیورز"" کہتے ہیں، کو مدنظر رکھتے ہوئے نئی ڈزائر کو ڈیزائن کیا گیا ہے جو ان کے کامیاب طرز زندگی کے عین مطابق ہے۔ ان کے مطابق سدھارتھ ملہوترا جیسے باصلاحیت اور کامیاب نوجوان کو برانڈ ایمبیسڈر بنانے کا فیصلہ اسی جذبے کی نمائندگی کرتا ہے۔ نئی ڈزائر میں جدید ڈیزائن، انوکھے فیچرز اور بہترین ویلیو شامل ہے، جس سے ماروتی سوزوکی اپنے صارفین کو ایک شاندار تجربہ فراہم کرنے کا عزم رکھتی ہے۔ دوسری طرف، اداکار سدھارتھ ملہوترا کی فلمی مصروفیات بھی جاری ہیں اور رپورٹس کے مطابق وہ سارا علی خان اور سیف علی خان کے ساتھ آنے والی فلموں میں بھی نظر آئیں گے۔",entertainment
